,index,eventId,subEventName,tags,playerId,positions,matchId,eventName,teamId,matchPeriod,eventSec,subEventId,id,tagsList,minut,x_position,y_position,TagNames,Accurate,Assist,Counter attack,Goal,Head/body,Key pass,Left foot,Position: Goal center,Position: Goal center left,Position: Goal center right,Position: Goal high center,Position: Goal high left,Position: Goal high right,Position: Goal low center,Position: Goal low left,Position: Goal low right,Position: Out center left,Position: Out center right,Position: Out high center,Position: Out high left,Position: Out high right,Position: Out low left,Position: Out low right,Position: Post center left,Position: Post center right,Position: Post high center,Position: Post high left,Position: Post high right,Position: Post low left,Position: Post low right,Right foot,distance,angle,x_coordinate_recovery,y_coordinate_recovery,possesion_time,recovery_way,assist_type
4033,308062,10,Shot,"[{'id': 401}, {'id': 201}, {'id': 1210}, {'id': 1802}]",394006,"[{'y': 56, 'x': 95}, {'y': 100, 'x': 100}]",2500872,Shot,3779,1H,1575.457935,100.0,217842715,"[401, 201, 1210, 1802]",26.257632249999997,95,56,"['Left foot', 'Opportunity', 'Position: Out low right', 'Not accurate']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.540068806977492,36.61,9,58,0.019579799999995373,Ground defending duel,Ground attacking duel
4034,308080,10,Shot,"[{'id': 402}, {'id': 201}, {'id': 1203}, {'id': 1801}]",25716,"[{'y': 60, 'x': 91}, {'y': 0, 'x': 0}]",2500872,Shot,3777,1H,1662.2688039999998,100.0,217842399,"[402, 201, 1203, 1801]",27.704480066666665,91,60,"['Right foot', 'Opportunity', 'Position: Goal center', 'Accurate']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.469633821530662,34.52,24,16,0.038088216666665176,Ground defending duel,Smart pass
4035,308087,10,Shot,"[{'id': 402}, {'id': 2101}, {'id': 1802}]",26138,"[{'y': 78, 'x': 88}, {'y': 0, 'x': 0}]",2500872,Shot,3777,1H,1673.237231,100.0,217842404,"[402, 2101, 1802]",27.887287183333335,88,78,"['Right foot', 'Blocked', 'Not accurate']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22.135943621178654,55.3,33,17,0.05346351666667104,Ground defending duel,Ground attacking duel
4036,308098,10,Shot,"[{'id': 403}, {'id': 201}, {'id': 1201}, {'id': 1801}]",25809,"[{'y': 64, 'x': 90}, {'y': 0, 'x': 0}]",2500872,Shot,3777,1H,1701.991078,100.0,217842417,"[403, 201, 1201, 1801]",28.366517966666667,90,64,"['Head/body', 'Opportunity', 'Position: Goal low center', 'Accurate']",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.894603268895446,40.91,14,5,0.28909651666666747,Ground defending duel,Cross
4037,308265,10,Shot,"[{'id': 402}, {'id': 201}, {'id': 1205}, {'id': 1801}]",26065,"[{'y': 51, 'x': 79}, {'y': 100, 'x': 100}]",2500872,Shot,3779,1H,2281.9451489999997,100.0,217842907,"[402, 201, 1205, 1801]",38.032419149999996,79,51,"['Right foot', 'Opportunity', 'Position: Goal low left', 'Accurate']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22.05957841845578,1.69,21,40,0.0021794666666679063,Touch,Simple pass
4038,308281,10,Shot,"[{'id': 402}, {'id': 201}, {'id': 1215}, {'id': 1802}]",26508,"[{'y': 72, 'x': 79}, {'y': 0, 'x': 0}]",2500872,Shot,3777,1H,2344.972005,100.0,217842595,"[402, 201, 1215, 1802]",39.08286675,79,72,"['Right foot', 'Opportunity', 'Position: Out high left', 'Not accurate']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,26.28102927969146,32.96,7,57,0.045436516666669036,Air duel,Air duel
4039,308330,10,Shot,"[{'id': 402}, {'id': 201}, {'id': 1201}, {'id': 1801}]",25641,"[{'y': 53, 'x': 95}, {'y': 100, 'x': 100}]",2500872,Shot,3779,1H,2562.694395,100.0,217842961,"[402, 201, 1201, 1801]",42.71157325,95,53,"['Right foot', 'Opportunity', 'Position: Goal low center', 'Accurate']",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.600446410778342,20.38,9,41,0.20800859999999943,Ground loose ball duel,Cross
4040,308544,10,Shot,"[{'id': 401}, {'id': 1215}, {'id': 1802}]",141172,"[{'y': 44, 'x': 80}, {'y': 100, 'x': 100}]",2500872,Shot,3779,2H,588.803367,100.0,217843188,"[401, 1215, 1802]",54.81338945,80,44,"['Left foot', 'Position: Out high left', 'Not accurate']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21.359073013593076,10.52,6,51,0.060245716666671,Clearance,Simple pass
4041,308567,10,Shot,"[{'id': 401}, {'id': 201}, {'id': 1207}, {'id': 1801}]",30437,"[{'y': 47, 'x': 90}, {'y': 0, 'x': 0}]",2500872,Shot,3777,2H,665.1320150000001,100.0,217842844,"[401, 201, 1207, 1801]",56.08553358333334,90,47,"['Left foot', 'Opportunity', 'Position: Goal high center', 'Accurate']",1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.679536506796538,10.52,12,15,0.5743721166666731,Touch,Cross
4042,308587,10,Shot,"[{'id': 402}, {'id': 201}, {'id': 1203}, {'id': 1801}]",26508,"[{'y': 61, 'x': 75}, {'y': 0, 'x': 0}]",2500872,Shot,3777,2H,720.9874629999998,100.0,217842869,"[402, 201, 1203, 1801]",57.016457716666665,75,61,"['Right foot', 'Opportunity', 'Position: Goal center', 'Accurate']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27.206341172601654,15.24,19,64,0.024622300000004316,Touch,Smart pass
4043,308640,10,Shot,"[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1204}, {'id': 1801}]",30437,"[{'y': 60, 'x': 91}, {'y': 0, 'x': 0}]",2500872,Shot,3777,2H,946.8639109999999,100.0,217842908,"[101, 402, 201, 1204, 1801]",60.78106518333333,91,60,"['Goal', 'Right foot', 'Opportunity', 'Position: Goal center left', 'Accurate']",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.469633821530662,34.52,7,33,0.013938966666671604,Touch,Cross
4044,308723,10,Shot,"[{'id': 402}, {'id': 1210}, {'id': 1802}]",25716,"[{'y': 17, 'x': 85}, {'y': 0, 'x': 0}]",2500872,Shot,3777,2H,1295.114321,100.0,217842996,"[402, 1210, 1802]",66.58523868333333,85,17,"['Right foot', 'Position: Out low right', 'Not accurate']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,26.611369750540838,53.71,40,24,0.6255112999999994,Ground defending duel,High pass
